Stem,Word_anew,Word_mrc,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,D.Mean.Sum,D.SD.Sum,D.Rat.Sum,Conc,Imag 
conquest,conquest,conquest,5.9,1.83,20,5.67,2.35,18,6.09,2.56,22,339,422
conscienc,conscience,conscience,5.9,2.29,20,3.95,2.44,20,5.41,2.82,22,255,386
consequ,consequence,consequence,3.86,1.55,22,4.31,2.09,26,4.67,2.3,24,260,299
conserv,conservation,conservation,5.2,2.19,20,3.17,2.07,18,5.79,2.15,24,303,391
conserv,conservative,conservation,4.55,2.35,20,2.65,1.98,20,4.82,2.24,22,303,391
conserv,conserve,conservation,5.9,1.37,20,3.75,2.36,20,5.86,2.4,22,303,391
consider,considerable,considerable,6.0,1.53,18,3.86,1.96,22,6.52,1.66,21,302,297
consider,considerable,consideration,6.0,1.53,18,3.86,1.96,22,6.52,1.66,21,260,318
consider,considerate,considerable,7.2,1.2,20,3.67,2.59,21,6.4,2.1,25,302,297
consider,considerate,consideration,7.2,1.2,20,3.67,2.59,21,6.4,2.1,25,260,318
consider,consideration,considerable,6.4,1.76,20,3.45,2.02,22,7.11,1.49,19,302,297
consider,consideration,consideration,6.4,1.76,20,3.45,2.02,22,7.11,1.49,19,260,318
consol,consolation,consolation,5.47,1.71,19,3.35,2.18,20,4.71,1.85,24,270,335
consol,console,consolation,6.53,1.71,19,4.09,2.09,23,5.79,1.36,19,270,335
consol,consoled,consolation,6.44,1.93,39,2.58,1.54,19,5.86,2.47,58,270,335
conspir,conspire,conspirator,3.9,1.58,21,4.48,2.06,23,4.32,2.1,25,464,386
constitut,constitute,constitution,4.57,1.57,21,3.18,2.24,22,5.5,1.89,18,367,395
constitut,constitution,constitution,5.47,2.27,19,3.35,2.32,20,5.4,2.16,20,367,395
constitut,constitutional,constitution,5.68,1.97,19,3.86,2.03,21,5.41,2.87,34,367,395
construct,construct,construction,5.4,1.47,20,4.33,1.93,21,5.36,2.33,33,464,410
construct,construction,construction,5.53,1.98,19,3.73,2.23,22,5.74,2.16,23,464,410
construct,constructive,construction,5.81,1.97,21,4.17,2.35,23,6.58,1.45,26,464,410
consumm,consummate,consummation,6.1,1.25,20,3.95,2.11,20,5.59,2.02,22,318,324
contact,contact,contact,6.17,2.07,18,3.33,2.5,21,5.78,1.99,18,456,449
contamin,contaminate,contamination,3.53,1.81,19,5.67,2.78,21,4.26,2.43,23,341,456
contamin,contamination,contamination,3.11,1.33,19,6.71,2.0,21,3.78,2.32,23,341,456
content,content,content,6.7,2.05,20,3.17,2.64,18,5.92,2.57,24,300,391
content,content,contents,6.7,2.05,20,3.17,2.64,18,5.92,2.57,24,414,386
content,contention,content,4.19,1.94,21,4.29,2.33,21,3.85,1.93,20,300,391
content,contention,contents,4.19,1.94,21,4.29,2.33,21,3.85,1.93,20,414,386
content,contentment,content,6.62,2.27,21,4.6,2.87,20,6.58,2.02,36,300,391
content,contentment,contents,6.62,2.27,21,4.6,2.87,20,6.58,2.02,36,414,386
content,contents,content,5.79,0.98,19,4.46,2.74,37,5.76,2.01,25,300,391
content,contents,contents,5.79,0.98,19,4.46,2.74,37,5.76,2.01,25,414,386
context,context,context,5.0,1.69,20,3.18,2.03,45,5.6,2.1,42,314,274
contin,continent,continent,6.05,2.04,21,3.24,2.3,21,5.16,2.43,25,459,478
continu,continuance,continuation,5.26,1.63,19,3.57,2.09,21,5.13,1.79,23,288,321
continu,continuation,continuation,5.23,2.0,22,3.84,1.95,19,6.38,1.83,21,288,321
continu,continue,continuation,5.61,1.97,18,2.9,1.7,21,6.17,1.95,18,288,321
continu,continuity,continuation,5.71,1.49,21,2.32,1.64,22,6.44,2.31,27,288,321
continu,continuous,continuation,5.33,1.65,21,3.27,2.16,22,5.77,2.07,26,288,321
contract,contract,contract,5.1,1.37,21,3.95,2.35,20,6.84,2.14,19,467,457
contract,contract,contraction,5.1,1.37,21,3.95,2.35,20,6.84,2.14,19,368,397
contract,contraction,contract,4.33,1.71,21,5.9,2.38,20,3.95,2.04,21,467,457
contract,contraction,contraction,4.33,1.71,21,5.9,2.38,20,3.95,2.04,21,368,397
contribut,contribute,contribution,6.15,1.27,20,3.58,1.84,24,6.96,1.64,28,353,394
contribut,contribution,contribution,6.58,1.57,19,3.18,1.92,22,7.0,1.48,23,353,394
control,control,control,4.43,1.86,21,4.76,2.61,21,5.47,2.76,17,311,347
control,controller,control,4.43,1.66,21,4.08,2.52,25,6.16,2.77,19,311,347
control,controlling,control,3.45,1.15,20,5.69,2.07,45,5.29,2.72,49,311,347
convent,convent,convent,5.05,2.17,19,3.86,2.29,21,4.25,2.34,28,537,559
convent,convent,convention,5.05,2.17,19,3.86,2.29,21,4.25,2.34,28,488,502
convent,convention,convent,5.0,1.14,21,3.67,2.14,18,4.65,2.45,17,537,559
convent,convention,convention,5.0,1.14,21,3.67,2.14,18,4.65,2.45,17,488,502
convent,conventional,convent,5.47,1.17,19,3.77,2.56,22,5.68,2.06,22,537,559
convent,conventional,convention,5.47,1.17,19,3.77,2.56,22,5.68,2.06,22,488,502
convey,convey,conveyance,5.1,1.74,20,3.83,1.83,23,5.1,1.89,21,368,397
cook,cook,cook,7.12,1.62,41,4.33,2.47,42,6.25,2.63,20,502,504
cook,cooking,cook,6.77,1.85,22,4.19,2.62,21,7.27,2.12,22,502,504
cooki,cookie,cookie,7.32,1.63,19,4.7,2.43,20,6.1,2.27,20,634,600
cool,cool,cool,6.82,1.56,22,3.43,2.31,21,6.44,1.58,18,364,429
cool,cool,coolness,6.82,1.56,22,3.43,2.31,21,6.44,1.58,18,350,462
cope,cope,cope,5.1,1.77,20,4.1,2.67,20,5.95,2.71,21,347,344
copper,copper,copper,5.6,1.67,20,4.14,2.22,21,6.19,2.02,21,547,548
coral,coral,coral,6.42,1.74,19,3.18,2.32,22,5.5,1.71,28,572,561
cord,cord,cord,5.38,1.35,39,4.2,1.94,45,5.47,2.02,62,564,549
core,core,core,6.19,1.4,21,3.24,2.45,25,5.89,2.02,19,459,497
cork,cork,cork,4.93,1.19,41,3.92,2.18,39,4.7,2.58,23,608,631
corkscrew,corkscrew,corkscrew,5.26,0.93,19,3.76,1.89,21,4.96,2.18,23,614,580
corn,corn,corn,5.95,1.32,20,3.43,1.89,21,5.65,2.19,34,576,601
corn,corned,corn,4.61,2.2,18,3.59,2.46,22,4.54,1.5,28,576,601
corner,corner,corner,4.83,2.12,18,3.38,2.33,42,4.88,2.19,24,533,556
corpor,corporal,corporation,4.63,1.34,19,3.5,1.61,20,4.9,2.17,21,361,337
corpor,corporate,corporation,4.9,2.51,20,4.74,2.49,23,5.05,2.5,20,361,337
corpor,corporation,corporation,3.82,1.89,22,4.73,2.35,22,4.47,2.5,19,361,337
corpor,corporeal,corporation,4.0,2.03,19,3.5,2.06,22,4.42,2.21,24,361,337
corp,corps,corps,4.24,1.95,21,3.52,2.11,23,4.69,1.98,26,438,408
corps,corpse,corpse,2.45,1.64,38,4.89,2.22,18,3.23,2.13,48,587,614
correspond,correspond,correspondent,5.75,1.41,20,3.48,2.11,23,6.76,2.02,21,441,424
correspond,correspondence,correspondent,6.59,1.53,22,5.05,2.25,19,5.71,1.95,21,441,424
correspond,correspondent,correspondent,5.32,1.67,19,3.55,1.84,22,5.29,1.73,24,441,424
correspond,corresponding,correspondent,5.1,1.51,21,4.52,2.57,23,5.95,1.64,20,441,424
corridor,corridor,corridor,4.76,1.64,21,3.53,2.17,47,5.35,2.13,54,568,553
cost,cost,cost,4.11,1.97,18,4.9,2.77,21,3.67,1.81,18,348,401
cost,costly,cost,3.0,1.52,20,4.08,2.83,24,4.68,2.26,19,348,401
costum,costume,costume,6.05,2.11,20,4.78,2.26,18,6.36,2.19,22,544,538
cottag,cottage,cottage,6.63,1.3,19,2.95,1.94,22,6.08,2.11,48,593,607
cotton,cotton,cotton,6.05,1.96,21,2.48,2.11,23,6.24,2.02,17,608,562
couch,couch,couch,6.52,1.44,21,3.4,2.62,20,6.19,2.03,36,578,536
council,council,council,5.0,1.65,20,3.86,1.68,21,5.21,2.57,34,435,405
count,count,count,5.89,1.37,18,2.3,1.72,20,5.17,2.2,18,351,459
countri,country,country,6.14,1.67,22,3.71,2.47,21,6.35,2.03,17,465,539
courag,courage,courage,7.67,1.32,21,5.0,2.5,24,7.27,1.78,22,277,440
courag,courageous,courage,8.05,0.71,19,5.5,2.56,20,7.38,1.76,24,277,440
court,court,court,3.52,2.09,21,4.43,2.71,21,3.94,2.48,18,509,552
courteous,courteous,courteous,7.05,2.16,20,3.95,2.16,21,7.26,1.86,34,364,387
courtship,courtship,courtship,6.0,1.77,22,5.38,2.67,21,5.37,2.03,19,346,520
cousin,cousin,cousin,6.11,2.3,18,2.6,2.28,20,5.28,1.23,18,502,478
cover,cover,cover,5.59,1.37,22,3.76,2.45,21,5.78,2.05,18,502,443
cow,cow,cow,5.42,1.71,19,2.95,1.86,42,5.24,2.03,42,621,632
coward,coward,cowardly,2.42,1.64,19,4.09,2.73,44,4.09,2.6,22,245,378
coward,cowardly,cowardly,2.85,1.6,20,5.14,1.93,21,3.85,2.45,33,245,378
cowardic,cowardice,cowardice,3.05,1.27,19,4.25,2.2,20,3.64,2.5,22,263,344
crab,crab,crab,5.81,1.5,21,4.13,2.55,23,4.52,1.66,25,626,589
cradl,cradle,cradle,6.1,1.86,20,3.67,2.59,18,4.86,1.98,22,587,592
craft,craft,craft,6.38,1.53,21,4.04,1.81,25,6.36,2.32,22,464,429
cranberri,cranberry,cranberry,6.36,1.99,22,3.64,1.92,22,5.74,2.45,19,596,649
cranium,cranium,cranium,5.81,1.36,21,3.55,2.52,22,5.15,2.09,27,558,460
crank,crank,crank,3.85,1.87,20,4.67,2.63,18,5.17,2.37,24,448,524
crawl,crawl,crawl,3.95,1.54,19,3.62,1.83,21,4.95,1.85,20,408,488
cream,cream,cream,6.56,1.95,18,3.8,2.78,20,6.11,1.53,18,621,557
cream,creamed,cream,6.1,1.68,20,4.75,2.63,20,5.56,2.4,36,621,557
creator,creator,creator,6.45,2.06,20,4.89,2.98,19,6.12,2.45,26,395,409
creatur,creature,creature,6.06,1.35,18,4.77,2.27,22,4.82,1.92,22,541,492
creeper,creeper,creeper,3.61,1.97,18,5.68,2.64,22,3.86,2.27,22,555,526
crew,crew,crew,5.83,1.62,18,3.38,2.09,21,5.0,2.09,18,523,486
crime,crime,crime,1.95,1.13,19,5.68,2.62,44,3.31,1.98,42,387,471
crisi,crisis,crisis,2.05,1.08,19,6.29,2.37,21,3.77,2.65,57,319,375
critic,critic,criticism,4.1,1.68,20,4.25,1.86,20,4.86,2.42,22,316,333
critic,critical,criticism,3.95,2.17,19,4.95,2.24,20,4.22,1.83,23,316,333
critic,criticism,criticism,3.84,1.8,19,5.95,2.2,21,4.17,2.29,23,316,333
critic,criticize,criticism,2.41,1.26,22,5.27,2.39,22,4.7,2.36,20,316,333
croak,croak,croak,3.29,1.62,21,4.52,2.38,21,3.58,2.17,24,395,445
crock,crock,crock,5.1,1.59,20,4.32,2.63,22,5.58,2.18,26,456,351
crocodil,crocodile,crocodile,3.15,1.93,20,6.48,1.86,21,3.47,2.39,34,583,601
crook,crook,crook,2.86,1.46,22,4.62,2.9,26,3.82,2.5,22,520,526
crook,crook,crooked,2.86,1.46,22,4.62,2.9,26,3.82,2.5,22,387,487
crook,crooked,crook,3.17,1.82,18,4.18,2.79,22,3.18,1.68,28,520,526
crook,crooked,crooked,3.17,1.82,18,4.18,2.79,22,3.18,1.68,28,387,487
croquet,croquet,croquet,5.63,1.92,19,3.5,2.24,22,5.64,1.79,22,559,539
cross,cross,cross,5.67,2.54,18,3.05,2.11,20,4.0,2.25,18,514,501
crow,crow,crow,4.32,2.29,19,3.55,2.37,20,5.4,2.46,20,590,578
crowd,crowd,crowd,4.48,2.44,21,5.15,2.32,20,5.21,3.29,19,546,548
crowd,crowded,crowd,3.2,1.24,20,3.95,2.5,20,3.45,2.2,22,546,548
crown,crown,crown,6.0,2.11,19,4.52,2.09,21,5.62,2.32,24,586,602
crucifix,crucifix,crucifix,4.1,2.15,20,4.19,2.58,21,4.8,3.03,25,564,576
cruel,cruel,cruel,2.73,2.07,41,5.07,2.43,44,4.78,2.81,23,367,422
cruiser,cruiser,cruiser,5.32,1.73,19,2.9,2.25,20,5.7,1.78,20,571,553
crumb,crumb,crumb,5.14,1.31,21,2.95,1.73,22,4.62,1.83,21,541,497
crush,crush,crush,4.72,2.59,18,5.6,2.41,20,3.96,1.88,25,381,480
crush,crushed,crush,2.87,1.58,39,5.07,2.41,41,4.24,2.85,25,381,480
cri,cry,cry,3.22,2.41,18,5.45,2.82,20,2.56,1.58,18,436,478
crypt,crypt,crypt,2.67,1.35,21,4.13,2.55,23,4.0,2.21,26,573,553
crystal,crystal,crystal,6.75,1.02,20,4.1,2.68,21,6.72,2.13,25,587,579
cube,cube,cube,4.75,1.8,20,3.09,1.8,22,5.53,1.58,19,530,575
cucumb,cucumber,cucumber,6.47,1.74,19,3.17,2.3,24,5.86,2.32,28,653,623
cue,cue,cue,5.84,2.01,19,4.35,2.39,20,4.62,2.1,24,532,448
cuisin,cuisine,cuisine,6.88,1.73,41,4.51,2.82,47,5.75,2.05,20,497,541
cult,cult,cult,2.77,1.6,22,5.48,1.66,21,3.61,2.76,23,349,386
cultur,cultural,culture,6.9,1.41,20,4.55,1.57,20,5.41,1.79,22,351,339
cultur,culture,culture,6.28,1.27,18,4.06,2.01,18,5.71,2.28,17,351,339
cultur,cultured,culture,6.15,2.08,20,3.33,2.15,21,6.4,2.25,25,351,339
cun,cunning,cunning,5.05,1.57,20,4.9,1.62,20,6.58,1.92,19,265,380
cup,cup,cup,5.94,2.04,18,2.6,2.01,20,5.28,1.74,18,539,558
curb,curb,curb,4.65,1.35,20,3.59,2.15,22,5.47,1.9,19,577,556
cure,cure,cure,7.81,1.33,21,4.5,2.76,22,5.45,2.36,22,352,397
curfew,curfew,curfew,4.14,1.67,22,4.0,2.47,23,5.0,2.4,19,426,471
curios,curiosity,curiosity,6.37,1.42,19,5.9,2.14,21,6.21,2.37,34,303,394
curs,curse,curse,2.9,2.17,21,5.2,2.38,20,5.15,2.37,20,363,415
curv,curve,curve,5.81,1.97,21,4.52,2.0,23,5.14,1.85,21,447,520
curv,curved,curve,5.24,1.14,21,3.91,2.69,22,5.7,2.09,27,447,520
custard,custard,custard,5.45,1.73,20,3.5,2.15,22,5.96,2.28,27,549,515
custom,custom,custom,5.29,1.7,42,4.0,2.07,21,5.56,2.05,48,323,364
custom,custom,customer,5.29,1.7,42,4.0,2.07,21,5.56,2.05,48,505,488
custom,customer,custom,5.86,1.49,21,3.4,2.06,25,6.16,2.52,19,323,364
custom,customer,customer,5.86,1.49,21,3.4,2.06,25,6.16,2.52,19,505,488
custom,customized,custom,6.91,1.54,22,4.87,2.65,23,6.58,1.64,19,323,364
custom,customized,customer,6.91,1.54,22,4.87,2.65,23,6.58,1.64,19,505,488
cut,cut,cut,3.9,1.84,40,5.07,2.43,46,4.55,2.14,47,430,460
cynic,cynic,cynic,3.45,1.92,22,4.68,1.67,19,4.81,2.29,21,379,377
cynic,cynical,cynic,3.3,1.45,20,4.78,2.73,18,4.95,2.08,22,379,377
cynic,cynicism,cynic,3.41,1.62,22,5.0,2.47,22,4.79,2.23,19,379,377
cyst,cyst,cyst,2.5,1.5,22,4.28,2.28,25,3.17,2.01,24,570,510
dad,dad,dad,7.14,2.17,22,4.05,2.52,21,6.12,2.57,17,603,626
dagger,dagger,dagger,4.38,1.8,21,5.79,2.36,43,4.83,2.5,24,576,581
dairi,dairy,dairy,6.09,1.66,22,3.9,2.34,21,6.39,1.83,23,565,537
daisi,daisy,daisy,7.48,1.72,21,3.95,2.76,19,5.37,2.43,19,613,573
damag,damage,damage,2.98,1.67,42,4.86,2.61,43,3.46,1.64,24,406,443
dame,dame,dame,6.1,1.8,20,4.22,2.67,18,5.54,2.43,24,528,530
damsel,damsel,damsel,5.74,1.73,19,4.44,2.31,18,4.29,2.02,17,544,551
danc,dance,dance,7.27,1.49,22,5.48,2.62,21,6.28,2.3,18,502,510
dancer,dancer,dancer,6.64,1.71,39,4.52,2.44,42,5.78,2.41,50,558,551
dandruff,dandruff,dandruff,3.05,1.99,19,4.41,2.15,22,3.57,1.86,21,546,554
danger,danger,danger,2.66,1.7,41,5.84,2.74,44,3.64,2.42,22,338,505
danger,dangerous,danger,2.33,1.88,18,6.81,2.34,21,2.56,1.82,18,338,505
dare,dare,dare,4.67,1.85,18,5.6,2.64,20,4.17,2.64,18,291,373
dare,daring,dare,6.0,1.53,19,6.14,1.9,21,6.04,2.08,23,291,373
dark,dark,dark,5.08,1.8,40,4.09,2.43,22,4.61,2.46,44,497,586
dark,dark,darkness,5.08,1.8,40,4.09,2.43,22,4.61,2.46,44,419,622
dark,darkness,dark,4.71,1.93,21,4.08,2.04,25,4.82,2.61,22,497,586
dark,darkness,darkness,4.71,1.93,21,4.08,2.04,25,4.82,2.61,22,419,622
dart,dart,dart,4.76,1.79,21,3.87,2.58,23,5.61,2.23,18,608,597
date,date,date,7.18,1.5,22,4.33,2.5,21,5.11,2.19,18,514,501
dawn,dawn,dawn,6.74,1.84,42,3.1,2.22,20,4.98,2.59,44,501,586
day,day,day,6.36,1.4,22,3.62,2.31,21,5.59,2.06,17,477,526
daybreak,daybreak,daybreak,7.16,1.46,19,3.95,2.4,21,5.3,2.24,23,511,608
daylight,daylight,daylight,6.95,1.48,41,4.05,2.84,20,5.88,2.34,48,492,575
dead,dead,dead,2.02,1.39,42,3.91,2.15,23,2.66,2.22,44,429,520
dead,deadly,dead,1.9,1.17,20,5.04,2.75,23,3.73,2.33,22,429,520
deal,deal,deal,6.14,1.52,22,3.9,2.39,21,6.12,2.03,17,342,383
death,death,death,1.89,1.24,19,5.53,2.62,43,3.42,2.36,19,365,498
death,deathly,death,1.95,1.18,19,6.05,2.33,20,2.95,2.26,20,365,498
debacl,debacle,debacle,4.2,2.02,20,4.78,2.24,23,4.06,2.39,18,370,284
debat,debatable,debate,5.62,1.53,21,5.8,2.4,20,4.86,2.11,36,375,397
debat,debate,debate,4.95,1.39,20,4.86,2.41,21,5.96,2.41,25,375,397
debt,debt,debt,1.95,0.97,21,5.93,2.58,43,3.71,2.56,48,416,384
debut,debut,debut,5.81,1.89,21,3.41,1.99,22,5.52,1.99,27,303,316
decay,decay,decay,2.4,1.57,20,4.59,2.59,22,2.84,2.01,19,370,450
decay,decaying,decay,2.81,2.11,21,4.68,2.4,19,3.14,1.82,21,370,450
deceit,deceit,deceit,2.89,2.02,19,5.62,1.94,21,4.24,2.22,25,257,338
deceit,deceitful,deceit,2.6,1.67,20,5.18,2.56,22,4.11,2.28,27,257,338
decis,decision,decision,5.5,1.86,18,3.43,2.38,21,6.89,2.14,18,297,340
decis,decisive,decision,6.78,1.52,18,3.95,2.46,20,5.76,1.92,25,297,340
deck,deck,deck,5.68,1.67,22,3.25,2.31,20,5.38,1.94,21,566,539
decomposit,decomposition,decomposition,3.16,1.74,19,4.0,2.55,24,3.89,2.08,28,376,448
decor,decor,decorate,5.95,1.59,22,3.38,2.06,21,7.32,2.06,22,423,508
decor,decor,decoration,5.95,1.59,22,3.38,2.06,21,7.32,2.06,22,507,526
decor,decorate,decorate,6.26,1.59,38,4.33,2.46,21,6.95,1.9,20,423,508
decor,decorate,decoration,6.26,1.59,38,4.33,2.46,21,6.95,1.9,20,507,526
decor,decoration,decorate,6.71,1.82,21,4.05,2.22,21,6.4,1.55,25,423,508
decor,decoration,decoration,6.71,1.82,21,4.05,2.22,21,6.4,1.55,25,507,526
decor,decorative,decorate,7.52,1.47,21,4.76,2.26,25,6.45,2.04,22,423,508
decor,decorative,decoration,7.52,1.47,21,4.76,2.26,25,6.45,2.04,22,507,526
decor,decorator,decorate,6.43,1.57,21,3.15,1.79,20,5.64,2.08,25,423,508
decor,decorator,decoration,6.43,1.57,21,3.15,1.79,20,5.64,2.08,25,507,526
decoy,decoy,decoy,4.61,1.12,23,3.91,2.18,22,4.95,2.01,20,486,453
decre,decree,decree,5.33,1.65,21,3.9,2.63,20,4.53,2.4,34,385,341
deduct,deduct,deduction,4.24,2.05,21,4.11,2.18,19,4.86,2.24,21,327,316
deduct,deductible,deduction,4.71,2.03,21,4.29,2.46,24,5.0,2.51,21,327,316
deduct,deduction,deduction,5.14,1.96,21,3.23,2.02,22,5.22,2.17,27,327,316
deed,deed,deed,5.89,1.37,18,3.0,1.59,20,5.92,2.06,25,410,390
deep,deep,deep,5.44,1.79,18,3.9,2.76,21,4.94,2.18,18,400,498
deer,deer,deer,6.89,1.49,19,3.95,2.42,22,4.89,1.79,19,631,624
defeat,defeat,defeat,3.74,1.79,19,4.14,2.49,22,3.87,2.36,23,363,402
defeat,defeated,defeat,2.59,1.64,37,4.73,2.37,22,2.43,2.11,23,363,402
defianc,defiance,defiance,4.15,1.9,20,5.86,2.33,21,5.44,2.73,34,275,383
defici,deficiency,deficient,2.74,1.24,19,4.2,2.53,20,4.15,2.64,20,329,358
defici,deficient,deficient,3.63,1.21,19,3.56,2.01,18,3.88,2.2,17,329,358
definit,definite,definition,5.79,1.18,19,4.19,1.94,21,5.39,2.76,23,262,224
definit,definition,definition,5.63,2.09,19,3.14,2.44,22,5.68,1.76,28,262,224
definit,definitive,definition,5.57,1.89,21,3.83,1.77,23,5.24,2.21,21,262,224
degrad,degradation,degraded,2.85,1.09,20,4.26,2.54,23,3.39,1.79,18,262,325
degrad,degrade,degraded,2.62,1.16,21,4.95,2.44,21,4.4,2.52,25,262,325
degre,degree,degree,5.63,1.12,19,4.1,1.92,21,5.0,2.15,23,406,521
deleg,delegate,delegation,5.15,1.5,20,3.72,2.35,18,6.32,2.03,22,406,356
deleg,delegation,delegation,5.2,0.89,20,3.62,1.8,21,5.76,2.37,25,406,356
delight,delight,delight,8.21,0.92,19,5.02,2.69,43,7.29,1.63,24,282,459
delight,delighted,delight,7.74,1.05,19,5.0,2.28,21,6.22,2.24,23,282,459
delight,delightful,delight,7.38,1.83,21,6.16,2.75,19,6.76,1.79,21,282,459
delirium,delirium,delirium,3.4,1.6,20,4.94,2.82,18,3.27,1.88,22,318,481
deliv,deliver,deliver,6.0,2.0,22,4.75,2.31,20,6.74,2.49,19,393,388
delta,delta,delta,5.3,1.45,20,3.32,2.15,22,6.15,2.23,27,494,499
delug,deluge,deluge,4.1,1.89,21,4.7,2.49,23,4.11,2.68,18,422,464
democraci,democracy,democracy,6.16,2.57,19,5.05,2.48,22,5.58,2.67,19,298,364
demolish,demolish,demolish,2.67,1.74,21,4.5,1.82,24,4.45,2.54,22,370,497
demon,demon,demon,3.0,2.32,40,5.34,2.8,47,3.4,2.35,45,302,474
demon,demonic,demon,3.05,2.33,20,6.24,2.07,21,3.52,2.42,25,302,474
demonstr,demonstrate,demonstration,5.47,2.12,19,4.14,3.0,21,6.0,1.83,28,381,486
demonstr,demonstration,demonstration,5.5,1.29,18,3.53,1.9,19,5.2,2.04,25,381,486
denial,denial,denial,3.57,1.78,21,4.85,2.46,20,4.05,1.99,21,272,364
dens,dense,dense,4.68,1.83,19,3.59,1.53,22,5.08,1.95,24,353,461
dent,dent,dent,3.52,1.21,21,3.46,2.75,24,4.95,2.27,19,517,486
dentist,dentist,dentist,3.84,1.81,38,4.37,2.58,38,4.7,2.74,20,607,622
depart,depart,department,4.05,1.5,20,3.9,2.29,20,4.36,2.06,22,447,426
depart,department,department,5.33,1.46,18,2.5,1.82,20,4.83,1.69,18,447,426
depict,depict,depict,4.74,1.33,19,3.88,1.96,17,5.71,2.02,17,262,316
deposit,deposit,deposit,6.25,2.05,20,4.5,2.63,22,6.37,2.54,27,417,413
deposit,deposition,deposit,3.53,1.71,19,4.18,2.2,22,4.12,1.92,24,417,413
depress,depress,depression,2.47,2.01,19,3.14,1.46,22,3.67,2.41,24,303,453
depress,depressed,depression,2.27,1.48,40,4.25,3.24,20,3.91,2.82,54,303,453
depress,depressing,depression,2.48,1.69,21,3.0,2.11,19,3.57,2.31,21,303,453
depress,depression,depression,2.44,1.87,43,5.2,2.09,20,3.33,2.38,18,303,453
depress,depressive,depression,2.64,1.4,22,3.48,2.38,21,3.64,2.17,22,303,453
deputi,deputy,deputy,5.3,1.42,20,4.05,2.31,21,5.52,2.74,27,455,435
derelict,derelict,derelict,3.78,1.75,41,4.4,2.57,43,4.22,1.63,18,506,466
deriv,derivative,derivation,4.7,1.95,20,3.72,2.35,18,4.59,1.82,22,242,267
deriv,derive,derivation,4.72,2.05,18,2.9,1.92,20,5.95,2.01,20,242,267
descript,description,description,5.24,1.51,21,3.64,2.13,22,5.54,1.53,26,341,326
descript,descriptive,description,5.74,1.79,19,3.45,2.13,22,6.48,1.93,23,341,326
design,design,design,6.8,1.77,20,3.95,2.65,21,5.8,2.36,25,444,407
design,designate,design,5.62,1.66,21,4.6,2.74,20,5.61,2.23,36,444,407
design,designated,design,5.1,1.26,21,3.85,1.93,20,5.14,2.37,21,444,407
design,designer,design,5.57,2.2,21,5.0,2.64,20,5.44,2.06,36,444,407
desk,desk,desk,5.56,1.72,18,2.45,1.67,20,5.72,1.96,18,583,574
desol,desolate,desolate,2.95,1.65,19,3.22,1.8,18,2.94,1.82,17,325,435
desol,desolation,desolate,2.91,1.41,22,4.04,2.2,26,4.25,2.75,24,325,435
despair,despair,despair,3.61,2.08,23,4.64,2.63,22,4.05,2.15,19,279,388
despair,despairing,despair,3.0,1.91,43,4.91,2.07,22,3.64,2.38,22,279,388
desper,desperate,desperation,3.19,1.47,21,5.0,2.52,23,3.21,2.12,19,257,389
desper,desperation,desperation,2.55,1.39,20,6.3,2.43,20,4.0,2.26,26,257,389
despis,despise,despise,3.08,1.58,39,4.77,2.22,22,4.38,2.36,45,314,450
destroy,destroy,destroy,2.67,2.3,18,5.16,2.85,45,4.3,2.68,43,367,444
destroy,destroy,destroyer,2.67,2.3,18,5.16,2.85,45,4.3,2.68,43,513,508
destroy,destroyer,destroy,2.16,1.38,19,6.09,2.33,22,3.67,2.43,24,367,444
destroy,destroyer,destroyer,2.16,1.38,19,6.09,2.33,22,3.67,2.43,24,513,508
destruct,destruct,destruction,3.5,1.57,22,6.09,2.47,23,4.42,2.46,19,365,505
destruct,destruction,destruction,2.53,1.17,19,5.62,2.6,45,3.78,2.76,18,365,505
destruct,destructive,destruction,3.11,1.66,19,6.38,1.56,21,4.85,2.56,33,365,505
detect,detect,detective,5.09,1.19,22,4.57,2.56,23,6.32,2.08,19,505,524
detect,detection,detective,4.63,1.21,19,3.95,2.09,21,5.11,2.08,19,505,524
detect,detective,detective,5.06,1.95,18,4.55,2.58,20,4.39,1.97,18,505,524
determin,determination,determination,7.58,1.35,19,5.52,2.23,23,7.06,2.15,18,243,386
determin,determine,determination,6.0,1.86,19,4.68,2.51,22,7.09,1.63,22,243,386
detest,detest,detestation,3.05,1.61,19,5.09,2.09,22,4.65,2.55,54,253,318
deton,detonate,detonation,3.26,1.63,19,6.1,2.49,21,3.33,2.01,24,408,443
deton,detonation,detonation,3.4,1.76,20,4.83,2.58,24,5.0,2.45,28,408,443
deton,detonator,detonation,4.3,1.66,20,5.39,2.27,23,5.29,2.22,21,408,443
develop,develop,development,6.05,1.18,19,4.5,2.09,22,6.71,1.45,21,316,356
develop,developer,development,5.89,1.15,19,3.75,2.53,20,5.29,2.1,24,316,356
develop,development,development,5.25,1.45,20,4.23,2.16,22,6.68,1.53,19,316,356
devic,device,device,5.79,1.65,19,3.42,2.34,19,5.95,1.61,19,444,391
devil,devil,devil,3.11,2.45,36,5.4,3.06,43,3.84,2.56,43,274,546
devil,deviled,devil,3.37,1.67,19,4.24,2.17,21,4.25,2.0,20,274,546
